id,region,label,unit,before,after,delta,before_pixels,after_pixels,status,note
screen_left_brow_relative_L_contrast,screen_left_brow,画面左眉の相対明度コントラスト,L*,28.69873046875,32.867431640625,4.168701171875,4169,5382,ok,参照皮膚L*中央値 − 対象L*第25百分位数（p25）。正値は対象が相対的に暗いことを示すだけで、改善判定ではない。毛・影・照明・位置ずれも混入する。 元画像の対象4169画素（必要32画素以上）。参照皮膚2854画素（必要64画素以上）。
screen_left_upper_lid_relative_L_contrast,screen_left_upper_lid,画面左上まぶた外側帯の相対明度コントラスト,L*,26.83563232421875,45.8282470703125,18.99261474609375,676,879,ok,参照皮膚L*中央値 − 対象L*第25百分位数（p25）。正値は対象が相対的に暗いことを示すだけで、改善判定ではない。毛・影・照明・位置ずれも混入する。 元画像の対象676画素（必要24画素以上）。参照皮膚1073画素（必要64画素以上）。
screen_right_brow_relative_L_contrast,screen_right_brow,画面右眉の相対明度コントラスト,L*,20.83740234375,30.3466796875,9.50927734375,5083,6104,ok,参照皮膚L*中央値 − 対象L*第25百分位数（p25）。正値は対象が相対的に暗いことを示すだけで、改善判定ではない。毛・影・照明・位置ずれも混入する。 元画像の対象5083画素（必要32画素以上）。参照皮膚3536画素（必要64画素以上）。
screen_right_upper_lid_relative_L_contrast,screen_right_upper_lid,画面右上まぶた外側帯の相対明度コントラスト,L*,24.981689453125,38.75732421875,13.775634765625,720,925,ok,参照皮膚L*中央値 − 対象L*第25百分位数（p25）。正値は対象が相対的に暗いことを示すだけで、改善判定ではない。毛・影・照明・位置ずれも混入する。 元画像の対象720画素（必要24画素以上）。参照皮膚1140画素（必要64画素以上）。
screen_left_lower_eye_skin_highpass_median_pct,screen_left_lower_eye_skin,画面左目の下の細かな質感コントラスト（中央値）,局所L*比 %,0.6231235861778259,1.2460591793060303,0.6229355931282043,1574,2051,ok,Gaussian blur σ=1.2px を引いた |L*残差| の中央値を領域L*中央値で正規化。細かな凹凸・線・メイク境界・ピント・圧縮ノイズをまとめて拾う画像指標で、乾燥・シワの診断ではない。 元画像の対象1574画素（必要100画素以上）。
screen_left_lower_eye_skin_highpass_p90_pct,screen_left_lower_eye_skin,画面左目の下の細かな質感コントラスト（p90）,局所L*比 %,1.935158133506775,5.042004585266113,3.1068464517593384,1574,2051,ok,Gaussian blur σ=1.2px を引いた |L*残差| の90百分位を領域L*中央値で正規化。局所的に強く見える細線や粒状感の候補で、乾燥・シワの診断ではない。 元画像の対象1574画素（必要100画素以上）。
screen_right_lower_eye_skin_highpass_median_pct,screen_right_lower_eye_skin,画面右目の下の細かな質感コントラスト（中央値）,局所L*比 %,0.5700963735580444,0.6182422041893005,0.048145830631256104,1690,2090,ok,Gaussian blur σ=1.2px を引いた |L*残差| の中央値を領域L*中央値で正規化。細かな凹凸・線・メイク境界・ピント・圧縮ノイズをまとめて拾う画像指標で、乾燥・シワの診断ではない。 元画像の対象1690画素（必要100画素以上）。
screen_right_lower_eye_skin_highpass_p90_pct,screen_right_lower_eye_skin,画面右目の下の細かな質感コントラスト（p90）,局所L*比 %,3.4780004024505615,5.249849319458008,1.7718489170074463,1690,2090,ok,Gaussian blur σ=1.2px を引いた |L*残差| の90百分位を領域L*中央値で正規化。局所的に強く見える細線や粒状感の候補で、乾燥・シワの診断ではない。 元画像の対象1690画素（必要100画素以上）。
lips_relative_a,lips,唇と周囲皮膚のa*差,a*,13.375,19.4375,6.0625,8152,12388,ok,唇a*中央値 − 周囲皮膚a*中央値。口腔内・口の境界線は除外。正負に良し悪しを割り当てない。 元画像の対象8152画素（必要60画素以上）。参照皮膚7071画素（必要64画素以上）。
lips_skin_delta_e76,lips,唇と周囲皮膚のLab色差,ΔE*ab（CIE76）,16.39737892150879,23.334857940673828,6.937479019165039,8152,12388,ok,唇と周囲皮膚のL*・a*・b*各中央値のユークリッド距離。口腔内を除外した領域間の色差で、塗布効果や知覚的な改善量を保証しない。 元画像の対象8152画素（必要60画素以上）。参照皮膚7071画素（必要64画素以上）。
left_cheek_L_median,left_cheek,画面左頬のL*中央値,L*,76.104736328125,66.80908203125,-9.295654296875,7321,9506,ok,固定ROI内の中央値。部位の色と撮影条件の確認用で、照明・影・化粧の影響を分離しない。 元画像の対象7321画素（必要100画素以上）。
left_cheek_a_median,left_cheek,画面左頬のa*中央値,a*,12.375,15.84375,3.46875,7321,9506,ok,固定ROI内の中央値。部位の色と撮影条件の確認用で、照明・影・化粧の影響を分離しない。 元画像の対象7321画素（必要100画素以上）。
left_cheek_b_median,left_cheek,画面左頬のb*中央値,b*,20.421875,17.71875,-2.703125,7321,9506,ok,固定ROI内の中央値。部位の色と撮影条件の確認用で、照明・影・化粧の影響を分離しない。 元画像の対象7321画素（必要100画素以上）。
left_cheek_ab_mad,left_cheek,画面左頬の色ばらつき,Lab a*b*距離,1.359375,0.8882918953895569,-0.4710831046104431,7321,9506,ok,a*b*各中央値からの色平面距離の中央値（robust分散の代理量）。明度L*は含めない。値の大小を肌の良し悪しとみなさない。 元画像の対象7321画素（必要100画素以上）。
left_cheek_highlight_percent,left_cheek,画面左頬の明部率,%,4.794426990848245,2.7561540079949505,-2.0382729828532944,7321,9506,ok,ROI内L*中央値 + 8以上の画素割合。光沢の候補量であり、照明・影・形状・化粧の影響が混入する。0%は閾値を超える画素がないことを示し、光沢がないという意味ではない。光沢量の測定や改善判定ではない。 元画像の対象7321画素（必要100画素以上）。
right_cheek_L_median,right_cheek,画面右頬のL*中央値,L*,79.779052734375,79.77294921875,-0.006103515625,10211,12050,ok,固定ROI内の中央値。部位の色と撮影条件の確認用で、照明・影・化粧の影響を分離しない。 元画像の対象10211画素（必要100画素以上）。
right_cheek_a_median,right_cheek,画面右頬のa*中央値,a*,10.78125,11.578125,0.796875,10211,12050,ok,固定ROI内の中央値。部位の色と撮影条件の確認用で、照明・影・化粧の影響を分離しない。 元画像の対象10211画素（必要100画素以上）。
right_cheek_b_median,right_cheek,画面右頬のb*中央値,b*,19.171875,16.859375,-2.3125,10211,12050,ok,固定ROI内の中央値。部位の色と撮影条件の確認用で、照明・影・化粧の影響を分離しない。 元画像の対象10211画素（必要100画素以上）。
