id,region,label,unit,before,after,delta,before_pixels,after_pixels,status,note
screen_left_brow_relative_L_contrast,screen_left_brow,画面左眉の相対明度コントラスト,L*,26.214599609375,34.259033203125,8.04443359375,4082,4427,ok,参照皮膚L*中央値 − 対象L*第25百分位数（p25）。正値は対象が相対的に暗いことを示すだけで、改善判定ではない。毛・影・照明・位置ずれも混入する。 元画像の対象4082画素（必要32画素以上）。参照皮膚2862画素（必要64画素以上）。
screen_left_upper_lid_relative_L_contrast,screen_left_upper_lid,画面左上まぶた外側帯の相対明度コントラスト,L*,21.502685546875,24.7161865234375,3.2135009765625,671,691,ok,参照皮膚L*中央値 − 対象L*第25百分位数（p25）。正値は対象が相対的に暗いことを示すだけで、改善判定ではない。毛・影・照明・位置ずれも混入する。 元画像の対象671画素（必要24画素以上）。参照皮膚1047画素（必要64画素以上）。
screen_right_brow_relative_L_contrast,screen_right_brow,画面右眉の相対明度コントラスト,L*,18.731689453125,31.011962890625,12.2802734375,5108,5193,ok,参照皮膚L*中央値 − 対象L*第25百分位数（p25）。正値は対象が相対的に暗いことを示すだけで、改善判定ではない。毛・影・照明・位置ずれも混入する。 元画像の対象5108画素（必要32画素以上）。参照皮膚3504画素（必要64画素以上）。
screen_right_upper_lid_relative_L_contrast,screen_right_upper_lid,画面右上まぶた外側帯の相対明度コントラスト,L*,23.651123046875,30.078125,6.427001953125,697,718,ok,参照皮膚L*中央値 − 対象L*第25百分位数（p25）。正値は対象が相対的に暗いことを示すだけで、改善判定ではない。毛・影・照明・位置ずれも混入する。 元画像の対象697画素（必要24画素以上）。参照皮膚1141画素（必要64画素以上）。
lips_relative_a,lips,唇と周囲皮膚のa*差,a*,11.78125,2.859375,-8.921875,8478,7197,ok,唇a*中央値 − 周囲皮膚a*中央値。口腔内・口の境界線は除外。正負に良し悪しを割り当てない。 元画像の対象8478画素（必要60画素以上）。参照皮膚6224画素（必要64画素以上）。
lips_skin_delta_e76,lips,唇と周囲皮膚のLab色差,ΔE*ab（CIE76）,15.315641403198242,7.876865386962891,-7.438776016235352,8478,7197,ok,唇と周囲皮膚のL*・a*・b*各中央値のユークリッド距離。口腔内を除外した領域間の色差で、塗布効果や知覚的な改善量を保証しない。 元画像の対象8478画素（必要60画素以上）。参照皮膚6224画素（必要64画素以上）。
left_cheek_L_median,left_cheek,画面左頬のL*中央値,L*,75.579833984375,66.485595703125,-9.09423828125,7425,7587,ok,固定ROI内の中央値。部位の色と撮影条件の確認用で、照明・影・化粧の影響を分離しない。 元画像の対象7425画素（必要100画素以上）。
left_cheek_a_median,left_cheek,画面左頬のa*中央値,a*,13.515625,15.734375,2.21875,7425,7587,ok,固定ROI内の中央値。部位の色と撮影条件の確認用で、照明・影・化粧の影響を分離しない。 元画像の対象7425画素（必要100画素以上）。
left_cheek_b_median,left_cheek,画面左頬のb*中央値,b*,20.4375,17.5625,-2.875,7425,7587,ok,固定ROI内の中央値。部位の色と撮影条件の確認用で、照明・影・化粧の影響を分離しない。 元画像の対象7425画素（必要100画素以上）。
left_cheek_ab_mad,left_cheek,画面左頬の色ばらつき,Lab a*b*距離,2.3577187061309814,1.0817421674728394,-1.275976538658142,7425,7587,ok,a*b*各中央値からの色平面距離の中央値（robust分散の代理量）。明度L*は含めない。値の大小を肌の良し悪しとみなさない。 元画像の対象7425画素（必要100画素以上）。
left_cheek_highlight_percent,left_cheek,画面左頬の明部率,%,14.047138047138047,0.6458415711084751,-13.401296476029572,7425,7587,ok,ROI内L*中央値 + 8以上の画素割合。光沢の候補量であり、照明・影・形状・化粧の影響が混入する。0%は閾値を超える画素がないことを示し、光沢がないという意味ではない。光沢量の測定や改善判定ではない。 元画像の対象7425画素（必要100画素以上）。
right_cheek_L_median,right_cheek,画面右頬のL*中央値,L*,80.50537109375,78.289794921875,-2.215576171875,10480,9816,ok,固定ROI内の中央値。部位の色と撮影条件の確認用で、照明・影・化粧の影響を分離しない。 元画像の対象10480画素（必要100画素以上）。
right_cheek_a_median,right_cheek,画面右頬のa*中央値,a*,10.578125,11.671875,1.09375,10480,9816,ok,固定ROI内の中央値。部位の色と撮影条件の確認用で、照明・影・化粧の影響を分離しない。 元画像の対象10480画素（必要100画素以上）。
right_cheek_b_median,right_cheek,画面右頬のb*中央値,b*,18.078125,17.71875,-0.359375,10480,9816,ok,固定ROI内の中央値。部位の色と撮影条件の確認用で、照明・影・化粧の影響を分離しない。 元画像の対象10480画素（必要100画素以上）。
right_cheek_ab_mad,right_cheek,画面右頬の色ばらつき,Lab a*b*距離,3.914522409439087,1.762580394744873,-2.151942014694214,10480,9816,ok,a*b*各中央値からの色平面距離の中央値（robust分散の代理量）。明度L*は含めない。値の大小を肌の良し悪しとみなさない。 元画像の対象10480画素（必要100画素以上）。
right_cheek_highlight_percent,right_cheek,画面右頬の明部率,%,0.0,0.0,0.0,10480,9816,ok,ROI内L*中央値 + 8以上の画素割合。光沢の候補量であり、照明・影・形状・化粧の影響が混入する。0%は閾値を超える画素がないことを示し、光沢がないという意味ではない。光沢量の測定や改善判定ではない。 元画像の対象10480画素（必要100画素以上）。
forehead_L_median,forehead,額のL*中央値,L*,82.843017578125,82.281494140625,-0.5615234375,6480,6949,ok,固定ROI内の中央値。部位の色と撮影条件の確認用で、照明・影・化粧の影響を分離しない。 元画像の対象6480画素（必要100画素以上）。
forehead_a_median,forehead,額のa*中央値,a*,9.5,9.296875,-0.203125,6480,6949,ok,固定ROI内の中央値。部位の色と撮影条件の確認用で、照明・影・化粧の影響を分離しない。 元画像の対象6480画素（必要100画素以上）。
forehead_b_median,forehead,額のb*中央値,b*,16.84375,14.4375,-2.40625,6480,6949,ok,固定ROI内の中央値。部位の色と撮影条件の確認用で、照明・影・化粧の影響を分離しない。 元画像の対象6480画素（必要100画素以上）。
