id,region,label,unit,before,after,delta,before_pixels,after_pixels,status,note
screen_left_brow_relative_L_contrast,screen_left_brow,画面左眉の相対明度コントラスト,L*,15.7501220703125,16.7724609375,1.0223388671875,465,453,ok,参照皮膚L*中央値 − 対象L*第25百分位数（p25）。正値は対象が相対的に暗いことを示すだけで、改善判定ではない。毛・影・照明・位置ずれも混入する。 元画像の対象465画素（必要32画素以上）。参照皮膚316画素（必要64画素以上）。
screen_left_upper_lid_relative_L_contrast,screen_left_upper_lid,画面左上まぶた外側帯の相対明度コントラスト,L*,6.77490234375,28.36456298828125,21.58966064453125,72,68,ok,参照皮膚L*中央値 − 対象L*第25百分位数（p25）。正値は対象が相対的に暗いことを示すだけで、改善判定ではない。毛・影・照明・位置ずれも混入する。 元画像の対象72画素（必要24画素以上）。参照皮膚134画素（必要64画素以上）。
screen_right_brow_relative_L_contrast,screen_right_brow,画面右眉の相対明度コントラスト,L*,19.5556640625,19.02313232421875,-0.53253173828125,458,464,ok,参照皮膚L*中央値 − 対象L*第25百分位数（p25）。正値は対象が相対的に暗いことを示すだけで、改善判定ではない。毛・影・照明・位置ずれも混入する。 元画像の対象458画素（必要32画素以上）。参照皮膚295画素（必要64画素以上）。
screen_right_upper_lid_relative_L_contrast,screen_right_upper_lid,画面右上まぶた外側帯の相対明度コントラスト,L*,9.21630859375,27.3193359375,18.10302734375,73,66,ok,参照皮膚L*中央値 − 対象L*第25百分位数（p25）。正値は対象が相対的に暗いことを示すだけで、改善判定ではない。毛・影・照明・位置ずれも混入する。 元画像の対象73画素（必要24画素以上）。参照皮膚126画素（必要64画素以上）。
lips_relative_a,lips,唇と周囲皮膚のa*差,a*,6.1796875,8.921875,2.7421875,580,621,ok,唇a*中央値 − 周囲皮膚a*中央値。口腔内・口の境界線は除外。正負に良し悪しを割り当てない。 元画像の対象580画素（必要60画素以上）。参照皮膚528画素（必要64画素以上）。
lips_skin_delta_e76,lips,唇と周囲皮膚のLab色差,ΔE*ab（CIE76）,14.33740234375,17.855571746826172,3.518169403076172,580,621,ok,唇と周囲皮膚のL*・a*・b*各中央値のユークリッド距離。口腔内を除外した領域間の色差で、塗布効果や知覚的な改善量を保証しない。 元画像の対象580画素（必要60画素以上）。参照皮膚528画素（必要64画素以上）。
left_cheek_L_median,left_cheek,画面左頬のL*中央値,L*,73.8525390625,70.71533203125,-3.13720703125,791,718,ok,固定ROI内の中央値。部位の色と撮影条件の確認用で、照明・影・化粧の影響を分離しない。 元画像の対象791画素（必要100画素以上）。
left_cheek_a_median,left_cheek,画面左頬のa*中央値,a*,22.40625,25.421875,3.015625,791,718,ok,固定ROI内の中央値。部位の色と撮影条件の確認用で、照明・影・化粧の影響を分離しない。 元画像の対象791画素（必要100画素以上）。
left_cheek_b_median,left_cheek,画面左頬のb*中央値,b*,15.65625,18.234375,2.578125,791,718,ok,固定ROI内の中央値。部位の色と撮影条件の確認用で、照明・影・化粧の影響を分離しない。 元画像の対象791画素（必要100画素以上）。
left_cheek_ab_mad,left_cheek,画面左頬の色ばらつき,Lab a*b*距離,1.493557095527649,1.5225214958190918,0.02896440029144287,791,718,ok,a*b*各中央値からの色平面距離の中央値（robust分散の代理量）。明度L*は含めない。値の大小を肌の良し悪しとみなさない。 元画像の対象791画素（必要100画素以上）。
